,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.660955055629641e-17,2.2360058611940776e-12,9.247945750665795e-15,8.029493292726871e-16
2017-01-01,2.7564325306088794e-17,2.3067781724995184e-12,9.641695620722713e-15,8.029493292726872e-16
2018-01-01,2.857366323999553e-17,2.377642601178756e-12,1.0045725310443278e-14,8.029493292726871e-16
2019-01-01,2.962522423856984e-17,2.4492698574761032e-12,1.0456943771118419e-14,8.02949329272687e-16
2020-01-01,3.070666818236495e-17,2.522330651635873e-12,1.0872259954039076e-14,8.029493292726871e-16
2021-01-01,3.1805654951934094e-17,2.597495693902381e-12,1.1288582810496174e-14,8.029493292726872e-16
2022-01-01,3.290984442783048e-17,2.6754356945199382e-12,1.170282129178065e-14,8.029493292726872e-16
2023-01-01,3.4006896490607354e-17,2.7568213637328585e-12,1.2111884349183433e-14,8.029493292726871e-16
2024-01-01,3.5084471020817933e-17,2.8423234117854564e-12,1.2512680933995461e-14,8.029493292726871e-16
2025-01-01,3.6130227899015445e-17,2.932612548922044e-12,1.2902119997507664e-14,8.029493292726872e-16
2026-01-01,3.7131827005753106e-17,3.0283594853869356e-12,1.3277110491010972e-14,8.02949329272687e-16
2027-01-01,3.8076928221584153e-17,3.130234931424444e-12,1.363456136579632e-14,8.029493292726871e-16
2028-01-01,3.895319142706181e-17,3.2389095972788833e-12,1.3971381573154644e-14,8.029493292726872e-16
2029-01-01,3.9748276502739307e-17,3.355054193194566e-12,1.4284480064376873e-14,8.029493292726873e-16
2030-01-01,4.044984332916985e-17,3.4793394294158064e-12,1.4570765790753934e-14,8.029493292726871e-16
2031-01-01,4.1050134515990413e-17,3.612062219010236e-12,1.482843110771447e-14,8.029493292726872e-16
2032-01-01,4.155972358917282e-17,3.75202428633876e-12,1.50608019872379e-14,8.029493292726871e-16
2033-01-01,4.1993766803772645e-17,3.897653558585603e-12,1.527248780544137e-14,8.029493292726873e-16
2034-01-01,4.2367420414845434e-17,4.047377962934986e-12,1.5468097938441985e-14,8.029493292726871e-16
2035-01-01,4.269584067744679e-17,4.1996254265711384e-12,1.565224176235689e-14,8.029493292726872e-16
2036-01-01,4.299418384663223e-17,4.35282387667828e-12,1.5829528653303212e-14,8.029493292726873e-16
2037-01-01,4.3277606177457335e-17,4.505401240440634e-12,1.600456798739807e-14,8.029493292726872e-16
2038-01-01,4.356126392497767e-17,4.6557854450424256e-12,1.61819691407586e-14,8.029493292726871e-16
2039-01-01,4.386031334424881e-17,4.802404417667881e-12,1.6366341489501937e-14,8.029493292726873e-16
2040-01-01,4.418991069032631e-17,4.94368608550122e-12,1.6562294409745194e-14,8.029493292726872e-16
2041-01-01,4.456201186925429e-17,5.0784781968080035e-12,1.6773725209490766e-14,8.029493292726872e-16
2042-01-01,4.4975771391031015e-17,5.207307784179132e-12,1.700168292428201e-14,8.029493292726871e-16
2043-01-01,4.5427143416643376e-17,5.331121701286841e-12,1.7246504521547566e-14,8.029493292726875e-16
2044-01-01,4.5912082107078174e-17,5.450866801803361e-12,1.7508526968716032e-14,8.029493292726874e-16
2045-01-01,4.642654162332226e-17,5.567489939400932e-12,1.778808723321605e-14,8.029493292726872e-16
2046-01-01,4.69664761263625e-17,5.6819379677517854e-12,1.8085522282476238e-14,8.029493292726873e-16
2047-01-01,4.752783977718572e-17,5.795157740528158e-12,1.8401169083925214e-14,8.029493292726873e-16
2048-01-01,4.810658673677876e-17,5.908096111402283e-12,1.87353646049916e-14,8.02949329272687e-16
2049-01-01,4.8698671166128475e-17,6.021699934046398e-12,1.9088445813104027e-14,8.029493292726872e-16
2050-01-01,4.9300047226221705e-17,6.136916062132736e-12,1.9460749675691107e-14,8.029493292726871e-16
2051-01-01,4.990600948645268e-17,6.254328705427588e-12,1.9851689377094067e-14,8.029493292726872e-16
2052-01-01,5.0509214149845157e-17,6.373071498073473e-12,2.0256982969304552e-14,8.029493292726871e-16
2053-01-01,5.110165782783029e-17,6.4919154303069645e-12,2.0671424721226803e-14,8.029493292726873e-16
2054-01-01,5.167533713183919e-17,6.609631492364633e-12,2.1089808901765043e-14,8.029493292726873e-16
2055-01-01,5.2222248673303026e-17,6.724990674483053e-12,2.1506929779823534e-14,8.029493292726872e-16
2056-01-01,5.2734389063652946e-17,6.836763966898799e-12,2.191758162430651e-14,8.029493292726873e-16
2057-01-01,5.3203754914320075e-17,6.943722359848447e-12,2.2316558704118208e-14,8.029493292726873e-16
2058-01-01,5.362234283673555e-17,7.0446368435685645e-12,2.2698655288162864e-14,8.029493292726872e-16
2059-01-01,5.3982149442330553e-17,7.138278408295732e-12,2.305866564534474e-14,8.029493292726871e-16
2060-01-01,5.427517134253619e-17,7.223418044266517e-12,2.339138404456806e-14,8.029493292726871e-16
2061-01-01,5.4496685877604395e-17,7.299331784190572e-12,2.3693642546549917e-14,8.02949329272687e-16
2062-01-01,5.4655093303070163e-17,7.367315830669853e-12,2.397042437925882e-14,8.029493292726872e-16
2063-01-01,5.476207460328929e-17,7.429171428779386e-12,2.4228750562476126e-14,8.029493292726872e-16
2064-01-01,5.482931076261749e-17,7.486699823594202e-12,2.4475642115983182e-14,8.029493292726873e-16
2065-01-01,5.486848276541057e-17,7.54170226018933e-12,2.4718120059561345e-14,8.029493292726871e-16
2066-01-01,5.489127159602431e-17,7.5959799836398e-12,2.4963205412991973e-14,8.029493292726872e-16
2067-01-01,5.4909358238814466e-17,7.651334239020643e-12,2.521791919605642e-14,8.029493292726873e-16
2068-01-01,5.4934423678136804e-17,7.709566271406885e-12,2.548928242853603e-14,8.029493292726871e-16
2069-01-01,5.4978148898347114e-17,7.772477325873561e-12,2.578431613021217e-14,8.029493292726871e-16
2070-01-01,5.5052214883801156e-17,7.841868647495698e-12,2.6110041320866195e-14,8.029493292726871e-16
2071-01-01,5.5165153391874987e-17,7.919084230484315e-12,2.6470649429483528e-14,8.029493292726872e-16
2072-01-01,5.5312899272025716e-17,8.003639065594379e-12,2.6859013521865842e-14,8.029493292726872e-16
2073-01-01,5.548823814673074e-17,8.094590892716848e-12,2.7265177073018897e-14,8.029493292726872e-16
2074-01-01,5.568395563846745e-17,8.190997451742674e-12,2.767918355794845e-14,8.029493292726873e-16
2075-01-01,5.58928373697132e-17,8.291916482562817e-12,2.8091076451660228e-14,8.029493292726872e-16
2076-01-01,5.610766896294545e-17,8.396405725068231e-12,2.849089922916001e-14,8.029493292726871e-16
2077-01-01,5.632123604064154e-17,8.503522919149877e-12,2.886869536545354e-14,8.029493292726872e-16
2078-01-01,5.652632422527888e-17,8.612325804698704e-12,2.9214508335546554e-14,8.02949329272687e-16
2079-01-01,5.67157191393349e-17,8.721872121605675e-12,2.951838161444483e-14,8.029493292726871e-16
2080-01-01,5.688220640528692e-17,8.831219609761742e-12,2.97703586771541e-14,8.029493292726872e-16
2081-01-01,5.701999487723174e-17,8.939542836255544e-12,2.996305410179712e-14,8.02949329272687e-16
