,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.5741300253359964e-17,2.1743932070101338e-12,8.859262406054566e-15,8.029493292726871e-16
2017-01-01,2.574564167931696e-17,2.1826148290590775e-12,8.845888123235286e-15,8.029493292726872e-16
2018-01-01,2.5737185749870748e-17,2.1894522988390773e-12,8.828267849614083e-15,8.029493292726871e-16
2019-01-01,2.5718414826955913e-17,2.1950380920242603e-12,8.807225534281282e-15,8.02949329272687e-16
2020-01-01,2.569181127250709e-17,2.1995046842887556e-12,8.78358512632722e-15,8.029493292726871e-16
2021-01-01,2.565985744845886e-17,2.2029845513066903e-12,8.758170574842224e-15,8.029493292726872e-16
2022-01-01,2.5625035716745824e-17,2.2056101687521918e-12,8.731805828916625e-15,8.029493292726872e-16
2023-01-01,2.5589828439302594e-17,2.2075140122993873e-12,8.705314837640755e-15,8.029493292726871e-16
2024-01-01,2.555671797806377e-17,2.208828557622406e-12,8.67952155010494e-15,8.029493292726871e-16
2025-01-01,2.552818669496396e-17,2.2096862803953735e-12,8.655249915399519e-15,8.029493292726872e-16
2026-01-01,2.5506716951937758e-17,2.2102196562924187e-12,8.633323882614813e-15,8.02949329272687e-16
2027-01-01,2.5494791110919776e-17,2.2105611609876688e-12,8.614567400841158e-15,8.029493292726871e-16
2028-01-01,2.5494891533844612e-17,2.2108432701552514e-12,8.599804419168884e-15,8.029493292726872e-16
2029-01-01,2.550950058264687e-17,2.2111984594692947e-12,8.589858886688319e-15,8.029493292726873e-16
2030-01-01,2.554110061926115e-17,2.211759204603925e-12,8.585554752489795e-15,8.029493292726871e-16
2031-01-01,2.5590938944292343e-17,2.212604079577607e-12,8.587306503589882e-15,8.029493292726872e-16
2032-01-01,2.5655322613026427e-17,2.2135960517861462e-12,8.5938907787101e-15,8.029493292726871e-16
2033-01-01,2.5729323619419697e-17,2.214544186969687e-12,8.603674754498207e-15,8.029493292726873e-16
2034-01-01,2.5808013957428393e-17,2.215257550868368e-12,8.615025607601957e-15,8.029493292726871e-16
2035-01-01,2.5886465621008812e-17,2.215545209222336e-12,8.626310514669123e-15,8.029493292726872e-16
2036-01-01,2.5959750604117212e-17,2.2152162277717305e-12,8.63589665234745e-15,8.029493292726873e-16
2037-01-01,2.6022940900709862e-17,2.2140796722566943e-12,8.642151197284699e-15,8.029493292726872e-16
2038-01-01,2.6071108504743035e-17,2.21194460841737e-12,8.643441326128634e-15,8.029493292726871e-16
2039-01-01,2.6099325410173013e-17,2.2086201019939e-12,8.63813421552701e-15,8.029493292726873e-16
2040-01-01,2.6102663610956054e-17,2.2039152187264266e-12,8.624597042127589e-15,8.029493292726872e-16
2041-01-01,2.6077529894456757e-17,2.1977011737173172e-12,8.601642453361802e-15,8.029493292726872e-16
2042-01-01,2.6025670221673003e-17,2.1900977795178392e-12,8.56986497979579e-15,8.029493292726871e-16
2043-01-01,2.5950165347011006e-17,2.181286998041487e-12,8.530304622779378e-15,8.029493292726875e-16
2044-01-01,2.5854096024876963e-17,2.1714507912017512e-12,8.48400138366237e-15,8.029493292726874e-16
2045-01-01,2.5740543009677066e-17,2.1607711209121252e-12,8.431995263794592e-15,8.029493292726872e-16
2046-01-01,2.561258705581755e-17,2.149429949086103e-12,8.375326264525858e-15,8.029493292726873e-16
2047-01-01,2.5473308917704605e-17,2.137609237637177e-12,8.315034387205988e-15,8.029493292726873e-16
2048-01-01,2.5325789349744427e-17,2.125490948478839e-12,8.252159633184794e-15,8.02949329272687e-16
2049-01-01,2.5173109106343242e-17,2.113257043524583e-12,8.1877420038121e-15,8.029493292726872e-16
2050-01-01,2.501834894190724e-17,2.1010894846879014e-12,8.122821500437718e-15,8.029493292726871e-16
2051-01-01,2.4864254216127928e-17,2.0891451272581476e-12,8.058321802389324e-15,8.029493292726872e-16
2052-01-01,2.4712228709837915e-17,2.0774804000281173e-12,7.994701300906024e-15,8.029493292726871e-16
2053-01-01,2.4563340809155145e-17,2.066126625166468e-12,7.932302065204782e-15,8.029493292726873e-16
2054-01-01,2.441865890019751e-17,2.0551151248418545e-12,7.87146616450256e-15,8.029493292726873e-16
2055-01-01,2.4279251369082932e-17,2.0444772212229336e-12,7.812535668016322e-15,8.029493292726872e-16
2056-01-01,2.4146186601929334e-17,2.034244236478362e-12,7.75585264496303e-15,8.029493292726873e-16
2057-01-01,2.402053298485463e-17,2.024447492776796e-12,7.701759164559648e-15,8.029493292726873e-16
2058-01-01,2.3903358903976725e-17,2.0151183122868918e-12,7.65059729602314e-15,8.029493292726872e-16
2059-01-01,2.379573274541355e-17,2.006288017177307e-12,7.60270910857047e-15,8.029493292726871e-16
2060-01-01,2.3698722895283018e-17,1.997987929616696e-12,7.5584366714186e-15,8.029493292726871e-16
2061-01-01,2.361298002764375e-17,1.9901863501643508e-12,7.517976546351708e-15,8.02949329272687e-16
2062-01-01,2.3537483968317172e-17,1.982599492942095e-12,7.480943265422831e-15,8.029493292726872e-16
2063-01-01,2.3470796831065434e-17,1.9748805504623888e-12,7.446805853252226e-15,8.029493292726872e-16
2064-01-01,2.3411480729650654e-17,1.96668271523769e-12,7.415033334460135e-15,8.029493292726873e-16
2065-01-01,2.3358097777834983e-17,1.9576591797804576e-12,7.385094733666817e-15,8.029493292726871e-16
2066-01-01,2.3309210089380563e-17,1.9474631366031517e-12,7.356459075492523e-15,8.029493292726872e-16
2067-01-01,2.3263379778049522e-17,1.9357477782182306e-12,7.328595384557501e-15,8.029493292726873e-16
