,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2048-01-01,3.9172581176841244e-17,4.334236325754811e-12,1.8062009277420843e-14,1.3343559257249642e-15
2049-01-01,3.927999312878133e-17,4.3639573200861546e-12,1.8200667512601874e-14,1.3456053944583332e-15
2050-01-01,3.9360813730629485e-17,4.3899371984790214e-12,1.8324282182228226e-14,1.3562349561883401e-15
2051-01-01,3.941442502575221e-17,4.4120571532978666e-12,1.8432458651740736e-14,1.366224940191304e-15
2052-01-01,3.9448947479325765e-17,4.431381880007694e-12,1.8530007529801136e-14,1.3757326600235127e-15
2053-01-01,3.947468616197889e-17,4.449271949848644e-12,1.8623040735876383e-14,1.3849596753112478e-15
2054-01-01,3.9501946144340274e-17,4.467087934060853e-12,1.8717670189433417e-14,1.394107545680789e-15
2055-01-01,3.9541032497038625e-17,4.486190403884464e-12,1.88200078099392e-14,1.403377830758418e-15
2056-01-01,3.96022502907027e-17,4.507939930559615e-12,1.8936165516860682e-14,1.4129720901704152e-15
2057-01-01,3.969590459596117e-17,4.533697085326447e-12,1.907225522966481e-14,1.4230918835430617e-15
2058-01-01,3.983230048344278e-17,4.564822439425098e-12,1.923438886781854e-14,1.433938770502638e-15
2059-01-01,4.002174302377624e-17,4.60267656409571e-12,1.942867835078883e-14,1.4457143106754253e-15
2060-01-01,4.0274537287590254e-17,4.648620030578421e-12,1.966123559804262e-14,1.4586200636877039e-15
2061-01-01,4.0597861089930526e-17,4.703595106442625e-12,1.993644236915014e-14,1.4728040020995175e-15
2062-01-01,4.0986383223510515e-17,4.766870844574732e-12,2.025175978409465e-14,1.4881997502059562e-15
2063-01-01,4.143164522546072e-17,4.8372979941904065e-12,2.0602918802962693e-14,1.5046873452358748e-15
2064-01-01,4.192518863291157e-17,4.913727304505307e-12,2.0985650385840797e-14,1.5221468244181252e-15
2065-01-01,4.245855498299352e-17,4.995009524735099e-12,2.1395685492815496e-14,1.5404582249815617e-15
2066-01-01,4.302328581283705e-17,5.079995404095448e-12,2.1828755083973332e-14,1.5595015841550374e-15
2067-01-01,4.361092265957261e-17,5.167535691802014e-12,2.2280590119400843e-14,1.5791569391674056e-15
2068-01-01,4.421300706033063e-17,5.2564811370704595e-12,2.2746921559184545e-14,1.5993043272475185e-15
2069-01-01,4.482108055224162e-17,5.34568248911645e-12,2.3223480363410996e-14,1.6198237856242316e-15
2070-01-01,4.5426684672435997e-17,5.43399049715565e-12,2.3705997492166724e-14,1.6405953515263969e-15
2071-01-01,4.6022714511845314e-17,5.520350431709423e-12,2.4190460844913765e-14,1.6614903963802435e-15
2072-01-01,4.660747937660545e-17,5.60408564852195e-12,2.46738860786162e-14,1.6823456284015008e-15
2073-01-01,4.718064212665335e-17,5.684614024643118e-12,2.5153545789613612e-14,1.7029890900032742e-15
2074-01-01,4.774186562192597e-17,5.76135343712281e-12,2.5626712574245574e-14,1.7232488235986686e-15
2075-01-01,4.829081272236026e-17,5.8337217630109045e-12,2.609065902885167e-14,1.7429528716007892e-15
2076-01-01,4.8827146287893185e-17,5.901136879357294e-12,2.6542657749771485e-14,1.761929276422741e-15
2077-01-01,4.93505291784617e-17,5.963016663211861e-12,2.6979981333344597e-14,1.7800060804776295e-15
2078-01-01,4.986062425400274e-17,6.018778991624484e-12,2.7399902375910593e-14,1.797011326178559e-15
2079-01-01,5.03570943744533e-17,6.067841741645055e-12,2.7799693473809055e-14,1.812773055938636e-15
2080-01-01,5.08396023997503e-17,6.1096227903234546e-12,2.8176627223379554e-14,1.8271193121709643e-15
2081-01-01,5.130829788591732e-17,6.143649461200936e-12,2.852898269293786e-14,1.839936978475578e-15
2082-01-01,5.176527717332437e-17,6.169886863784228e-12,2.885906483870443e-14,1.8513483032002283e-15
2083-01-01,5.221312329842803e-17,6.188409554071423e-12,2.9170185088875905e-14,1.861534375879592e-15
2084-01-01,5.265441929768496e-17,6.199292088060622e-12,2.946565487164893e-14,1.8706762860483493e-15
2085-01-01,5.309174820755175e-17,6.202609021749919e-12,2.9748785615220134e-14,1.8789551232411788e-15
2086-01-01,5.352769306448503e-17,6.198434911137412e-12,3.0022888747786166e-14,1.886551976992759e-15
2087-01-01,5.3964836904941417e-17,6.186844312221197e-12,3.029127569754368e-14,1.8936479368377685e-15
2088-01-01,5.440576276537751e-17,6.167911780999368e-12,3.055725789268929e-14,1.9004240923108866e-15
2089-01-01,5.4853053682249925e-17,6.141711873470022e-12,3.082414676141964e-14,1.907061532946791e-15
2090-01-01,5.5309292692015287e-17,6.108319145631258e-12,3.109525373193138e-14,1.9137413482801617e-15
2091-01-01,5.577706283113022e-17,6.0678081534811705e-12,3.137389023242116e-14,1.9206446278456772e-15
2092-01-01,5.625894713605134e-17,6.0202534530178585e-12,3.1663367691085604e-14,1.9279524611780167e-15
2093-01-01,5.67575286432352e-17,5.965729600239411e-12,3.196699753612134e-14,1.935845937811857e-15
2094-01-01,5.727539038913853e-17,5.904311151143934e-12,3.2288091195725046e-14,1.944506147281879e-15
2095-01-01,5.781511541021784e-17,5.836072661729517e-12,3.262996009809332e-14,1.9541141791227608e-15
2096-01-01,5.837928674292981e-17,5.761088687994258e-12,3.2995915671422837e-14,1.964851122869181e-15
2097-01-01,5.897048742373103e-17,5.679433785936255e-12,3.338926934391022e-14,1.9768980680558186e-15
2098-01-01,5.959130048907809e-17,5.591182511553603e-12,3.38133325437521e-14,1.9904361042173517e-15
2099-01-01,6.024430897542768e-17,5.496409420844399e-12,3.427141669914514e-14,2.0056463208884605e-15
2100-01-01,6.093209591923634e-17,5.395189069806738e-12,3.476683323828597e-14,2.0227098076038225e-15
