,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.643111082141196e-17,2.2297422984837637e-12,9.034023613357353e-15,8.240283478798344e-16
2017-01-01,2.7220731693642926e-17,2.3021047525020856e-12,9.219860349315489e-15,8.475062100298293e-16
2018-01-01,2.808218678600612e-17,2.3810292986863136e-12,9.422538226617195e-15,8.731240637614963e-16
2019-01-01,2.90071211577496e-17,2.465802916649675e-12,9.639518515023673e-15,9.006230571136594e-16
2020-01-01,2.9987179868121424e-17,2.5557125860053986e-12,9.868262484296132e-15,9.297443381251435e-16
2021-01-01,3.101400797636966e-17,2.650045286366712e-12,1.010623140419577e-14,9.602290548347725e-16
2022-01-01,3.207925054174236e-17,2.7480879973468435e-12,1.0350886544483784e-14,9.918183552813708e-16
2023-01-01,3.317455262348758e-17,2.8491276985590206e-12,1.059968917492138e-14,1.024253387503763e-15
2024-01-01,3.4291559280853397e-17,2.9524513696164723e-12,1.0850100565269764e-14,1.0572752995407735e-15
2025-01-01,3.542191557308785e-17,3.0573459901324258e-12,1.109958198529013e-14,1.0906252394312266e-15
2026-01-01,3.655726655943902e-17,3.1630985397201096e-12,1.1345594704743685e-14,1.124044355213946e-15
2027-01-01,3.768925729915496e-17,3.2689959979927513e-12,1.158559999339163e-14,1.157273794927757e-15
2028-01-01,3.880953285148372e-17,3.374325344563579e-12,1.1817059120995164e-14,1.1900547066114835e-15
2029-01-01,3.990973827567338e-17,3.478373559045822e-12,1.2037433357315494e-14,1.22212823830395e-15
2030-01-01,4.098151863097198e-17,3.580427621052706e-12,1.2244183972113817e-14,1.2532355380439804e-15
2031-01-01,4.2017960545913354e-17,3.6798921073455775e-12,1.2435189706948815e-14,1.2831634920658613e-15
2032-01-01,4.30179169261743e-17,3.776641983278244e-12,1.2609999190569085e-14,1.3118819393857235e-15
2033-01-01,4.398168224671741e-17,3.870669811352635e-12,1.2768578523520703e-14,1.339406457215161e-15
2034-01-01,4.490955098250521e-17,3.961968154070672e-12,1.2910893806349734e-14,1.3657526227657657e-15
2035-01-01,4.580181760850033e-17,4.050529573934285e-12,1.303691113960226e-14,1.390936013249132e-15
2036-01-01,4.6658776599665303e-17,4.136346633445396e-12,1.3146596623824354e-14,1.4149722058768522e-15
2037-01-01,4.748072243096269e-17,4.219411895105934e-12,1.3239916359562083e-14,1.4378767778605193e-15
2038-01-01,4.826794957735509e-17,4.2997179214178235e-12,1.3316836447361524e-14,1.4596653064117265e-15
2039-01-01,4.902075251380506e-17,4.3772572748829914e-12,1.3377322987768757e-14,1.4803533687420675e-15
2040-01-01,4.973942571527517e-17,4.452022518003362e-12,1.3421342081329848e-14,1.4999565420631346e-15
2041-01-01,5.042505742581561e-17,4.524084508405079e-12,1.3449455557973412e-14,1.5185129048514478e-15
2042-01-01,5.1081910965826994e-17,4.593827284211143e-12,1.3464608165158223e-14,1.5361505406432315e-15
2043-01-01,5.171504342479762e-17,4.6617131786687756e-12,1.3470340379725598e-14,1.5530200342396374e-15
2044-01-01,5.2329511892215675e-17,4.7282045250251904e-12,1.3470192678516831e-14,1.569271970441816e-15
2045-01-01,5.2930373457569434e-17,4.793763656527609e-12,1.346770553837324e-14,1.5850569340509184e-15
2046-01-01,5.352268521034717e-17,4.858852906423248e-12,1.3466419436136148e-14,1.6005255098680966e-15
2047-01-01,5.411150424003711e-17,4.923934607959328e-12,1.3469874848646855e-14,1.6158282826945011e-15
2048-01-01,5.470188763612748e-17,4.9894710943830635e-12,1.348161225274667e-14,1.6311158373312829e-15
2049-01-01,5.5298892488106587e-17,5.055924698941677e-12,1.3505172125276914e-14,1.646538758579594e-15
2050-01-01,5.590757588546264e-17,5.123757754882385e-12,1.3544094943078889e-14,1.662247631240585e-15
2051-01-01,5.653161325300065e-17,5.1933021960193154e-12,1.3600875397005524e-14,1.6783527082396057e-15
2052-01-01,5.716915335679269e-17,5.264368358434231e-12,1.3673825033956187e-14,1.6948029149988007e-15
2053-01-01,5.781696329822756e-17,5.3366361787758085e-12,1.3760209614841865e-14,1.7115068450645135e-15
2054-01-01,5.847181017869403e-17,5.409785593692719e-12,1.3857294900573532e-14,1.7283730919830864e-15
2055-01-01,5.913046109958093e-17,5.483496539833635e-12,1.3962346652062177e-14,1.7453102493008633e-15
2056-01-01,5.978968316227708e-17,5.557448953847234e-12,1.4072630630218784e-14,1.7622269105641868e-15
2057-01-01,6.044624346817129e-17,5.631322772382187e-12,1.4185412595954335e-14,1.7790316693194005e-15
2058-01-01,6.109690911865235e-17,5.704797932087166e-12,1.4297958310179803e-14,1.795633119112847e-15
2059-01-01,6.173844721510909e-17,5.7775543696108475e-12,1.4407533533806187e-14,1.8119398534908693e-15
2060-01-01,6.236762485893028e-17,5.8492720216019034e-12,1.4511404027744458e-14,1.8278604659998114e-15
2061-01-01,6.298175029346984e-17,5.919696685749574e-12,1.4607328485916787e-14,1.843316413837072e-15
2062-01-01,6.358029632994188e-17,5.988837603905348e-12,1.4695037334290067e-14,1.8582806088042705e-15
2063-01-01,6.416327692152565e-17,6.056769878961286e-12,1.4774753931842382e-14,1.8727388263540836e-15
2064-01-01,6.473070602140034e-17,6.123568613809441e-12,1.4846701637551797e-14,1.886676841939187e-15
2065-01-01,6.528259758274517e-17,6.18930891134187e-12,1.49111038103964e-14,1.9000804310122555e-15
2066-01-01,6.581896555873939e-17,6.254065874450634e-12,1.4968183809354272e-14,1.9129353690259673e-15
2067-01-01,6.633982390256215e-17,6.3179146060277874e-12,1.5018164993403486e-14,1.9252274314329966e-15
2068-01-01,6.684518656739272e-17,6.380930208965382e-12,1.506127072152211e-14,1.936942393686019e-15
2069-01-01,6.733506750641031e-17,6.443187786155482e-12,1.5097724352688237e-14,1.9480660312377125e-15
