,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.635120388289168e-17,2.228644748468679e-12,9.064584027343296e-15,8.029493292726871e-16
2017-01-01,2.6666388230210155e-17,2.264196606399018e-12,9.155202353634347e-15,8.029493292726872e-16
2018-01-01,2.669942923139078e-17,2.274115797056483e-12,9.150378808233372e-15,8.029493292726871e-16
2019-01-01,2.6482523965803762e-17,2.26120758668842e-12,9.061070471519003e-15,8.02949329272687e-16
2020-01-01,2.6047869512819316e-17,2.228277241542176e-12,8.898234423869877e-15,8.029493292726871e-16
2021-01-01,2.542766295180764e-17,2.178130027865097e-12,8.672827745664625e-15,8.029493292726872e-16
2022-01-01,2.4654101362138937e-17,2.113571211904529e-12,8.395807517281877e-15,8.029493292726872e-16
2023-01-01,2.3759381823183416e-17,2.037406059907818e-12,8.078130819100269e-15,8.029493292726871e-16
2024-01-01,2.2775701414311287e-17,1.952439838122311e-12,7.730754731498434e-15,8.029493292726871e-16
2025-01-01,2.1735257214892754e-17,1.8614778127953534e-12,7.364636334854998e-15,8.029493292726872e-16
2026-01-01,2.0670246304298027e-17,1.7673252501742924e-12,6.990732709548602e-15,8.02949329272687e-16
2027-01-01,1.9612865761897305e-17,1.6727874165064734e-12,6.620000935957873e-15,8.029493292726871e-16
2028-01-01,1.8595312667060802e-17,1.5806695780392432e-12,6.2633980944614466e-15,8.029493292726872e-16
2029-01-01,1.7649784099158717e-17,1.493777001019948e-12,5.931881265437954e-15,8.029493292726873e-16
2030-01-01,1.6808477137561258e-17,1.4149149516959336e-12,5.636407529266028e-15,8.029493292726871e-16
2031-01-01,1.609544574484909e-17,1.3462000482952134e-12,5.385159360345994e-15,8.029493292726872e-16
2032-01-01,1.5502171416444686e-17,1.2869943169684664e-12,5.175220809164935e-15,8.029493292726871e-16
2033-01-01,1.501199253098098e-17,1.2359711358470394e-12,5.0009013202316374e-15,8.029493292726873e-16
2034-01-01,1.460824746709088e-17,1.1918038830622766e-12,4.8565103380548706e-15,8.029493292726871e-16
2035-01-01,1.427427460340733e-17,1.1531659367455258e-12,4.736357307143422e-15,8.029493292726872e-16
2036-01-01,1.3993412318563264e-17,1.1187306750281316e-12,4.634751672006064e-15,8.029493292726873e-16
2037-01-01,1.3748998991191593e-17,1.0871714760414403e-12,4.546002877151578e-15,8.029493292726872e-16
2038-01-01,1.3524372999925257e-17,1.0571617179167978e-12,4.464420367088742e-15,8.029493292726871e-16
2039-01-01,1.3302872723397183e-17,1.0273747787855507e-12,4.384313586326335e-15,8.029493292726873e-16
2040-01-01,1.3067836540240298e-17,9.964840367790442e-13,4.299991979373136e-15,8.029493292726872e-16
2041-01-01,1.280628605932054e-17,9.634854019779136e-13,4.207016661752225e-15,8.029493292726872e-16
2042-01-01,1.2519975810435916e-17,9.286649122599528e-13,4.105955433043888e-15,8.029493292726871e-16
2043-01-01,1.2214343553617434e-17,8.926311374522448e-13,3.998627763842715e-15,8.029493292726875e-16
2044-01-01,1.1894827048896104e-17,8.55992647381872e-13,3.886853124743292e-15,8.029493292726874e-16
2045-01-01,1.1566864056302938e-17,8.193580118759172e-13,3.772450986340206e-15,8.029493292726872e-16
2046-01-01,1.1235892335868955e-17,7.833358007614637e-13,3.657240819228049e-15,8.029493292726873e-16
2047-01-01,1.0907349647625164e-17,7.485345838655943e-13,3.5430420940014083e-15,8.029493292726873e-16
2048-01-01,1.0586673751602572e-17,7.155629310153916e-13,3.431674281254869e-15,8.02949329272687e-16
2049-01-01,1.0279302407832199e-17,6.85029412037939e-13,3.324956851583023e-15,8.029493292726872e-16
2050-01-01,9.990673376345055e-18,6.575425967603189e-13,3.224709275580456e-15,8.029493292726871e-16
2051-01-01,9.725101304941397e-18,6.335544460971962e-13,3.1323705625384155e-15,8.029493292726872e-16
2052-01-01,9.482408392498468e-18,6.128904853135623e-13,3.0478578765347756e-15,8.029493292726871e-16
2053-01-01,9.261293725662761e-18,5.952196307619908e-13,2.970707920344074e-15,8.029493292726873e-16
2054-01-01,9.060456391080759e-18,5.802107987950546e-13,2.9004573967408408e-15,8.029493292726873e-16
