,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.6652719982751694e-17,2.242680498161797e-12,9.264486522365824e-15,8.029493292726871e-16
2017-01-01,2.7624454150080085e-17,2.3160749882759846e-12,9.66473455273347e-15,8.029493292726872e-16
2018-01-01,2.862916678829518e-17,2.386224277280109e-12,1.0066992016914745e-14,8.029493292726871e-16
2019-01-01,2.9659143073641844e-17,2.4545142150935964e-12,1.0469940091739872e-14,8.02949329272687e-16
2020-01-01,3.0706668182364954e-17,2.5223306516358734e-12,1.0872259954039076e-14,8.029493292726871e-16
2021-01-01,3.176402729070935e-17,2.5910594368263657e-12,1.1272632780642573e-14,8.029493292726872e-16
2022-01-01,3.282350557491992e-17,2.662086420584499e-12,1.1669739748380589e-14,8.029493292726872e-16
2023-01-01,3.387738821124151e-17,2.7367974528297004e-12,1.206226203408334e-14,8.029493292726871e-16
2024-01-01,3.4917960375918987e-17,2.816578383481396e-12,1.2448880814581058e-14,8.029493292726871e-16
2025-01-01,3.5937507245197216e-17,2.9028150624590113e-12,1.2828277266703953e-14,8.029493292726872e-16
2026-01-01,3.6928313995321066e-17,2.996893339681973e-12,1.3199132567282256e-14,8.02949329272687e-16
2027-01-01,3.7882665802535383e-17,3.100199065069707e-12,1.3560127893146182e-14,8.029493292726871e-16
2028-01-01,3.879284784308505e-17,3.21411808854164e-12,1.3909944421125957e-14,8.029493292726872e-16
2029-01-01,3.9651145293214925e-17,3.3400362600171982e-12,1.4247263328051802e-14,8.029493292726873e-16
2030-01-01,4.044984332916985e-17,3.4793394294158064e-12,1.4570765790753934e-14,8.029493292726871e-16
2031-01-01,4.1181955443202084e-17,3.6324436997509503e-12,1.4878939535584206e-14,8.029493292726872e-16
2032-01-01,4.1843408391593246e-17,3.795886186412344e-12,1.516949848698096e-14,8.029493292726871e-16
2033-01-01,4.2430857246632385e-17,3.965234257883761e-12,1.543996311890418e-14,8.029493292726873e-16
2034-01-01,4.294095708060848e-17,4.136055282648972e-12,1.568785390531382e-14,8.029493292726871e-16
2035-01-01,4.337036296581058e-17,4.303916629191753e-12,1.591069132016987e-14,8.029493292726872e-16
2036-01-01,4.3715729974527666e-17,4.464385665995874e-12,1.6105995837432294e-14,8.029493292726873e-16
2037-01-01,4.3973713179048774e-17,4.6130297615451085e-12,1.6271287931061065e-14,8.029493292726872e-16
2038-01-01,4.4140967651662896e-17,4.745416284323228e-12,1.6404088075016154e-14,8.029493292726871e-16
2039-01-01,4.4214148464659076e-17,4.8571126028140074e-12,1.6501916743257542e-14,8.029493292726873e-16
2040-01-01,4.418991069032631e-17,4.943686085501219e-12,1.6562294409745194e-14,8.029493292726872e-16
2041-01-01,4.406685220129967e-17,5.001875091373865e-12,1.658385377948441e-14,8.029493292726872e-16
2042-01-01,4.385134207159838e-17,5.033101941441865e-12,1.65696764816618e-14,8.029493292726871e-16
2043-01-01,4.355169217558773e-17,5.039959947220374e-12,1.6523956376509287e-14,8.029493292726875e-16
2044-01-01,4.317621438763298e-17,5.0250424202245364e-12,1.6450887324258798e-14,8.029493292726874e-16
2045-01-01,4.273322058209944e-17,4.990942671969506e-12,1.635466318514226e-14,8.029493292726872e-16
