,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2046-01-01,4.223102263335238e-17,4.940254013970436e-12,1.623947781939162e-14,8.029493292726873e-16
2047-01-01,4.167793241575709e-17,4.875569757742472e-12,1.610952508723879e-14,8.029493292726873e-16
2048-01-01,4.108226180367884e-17,4.799483214800769e-12,1.59689988489157e-14,8.02949329272687e-16
2049-01-01,4.045232267148292e-17,4.714587696660476e-12,1.582209296465429e-14,8.029493292726872e-16
2050-01-01,3.9796426893534617e-17,4.623476514836743e-12,1.5673001294686486e-14,8.029493292726871e-16
2051-01-01,3.912097798721694e-17,4.528247525190102e-12,1.5524644166068574e-14,8.029493292726872e-16
2052-01-01,3.84247460419839e-17,4.429016760962594e-12,1.5374847773154306e-14,8.029493292726871e-16
2053-01-01,3.7704592790307235e-17,4.325404799741643e-12,1.52201647771218e-14,8.029493292726873e-16
2054-01-01,3.6957379964658666e-17,4.2170322191146684e-12,1.5057147839149154e-14,8.029493292726873e-16
2055-01-01,3.617996929750994e-17,4.103519596669094e-12,1.4882349620414476e-14,8.029493292726872e-16
2056-01-01,3.5369222521332796e-17,3.984487509992342e-12,1.4692322782095896e-14,8.029493292726873e-16
2057-01-01,3.4522001368598965e-17,3.859556536671835e-12,1.4483619985371505e-14,8.029493292726873e-16
2058-01-01,3.363516757178019e-17,3.7283472542949936e-12,1.4252793891419416e-14,8.029493292726872e-16
2059-01-01,3.270558286334821e-17,3.5904802404492426e-12,1.3996397161417754e-14,8.029493292726871e-16
2060-01-01,3.173010897577476e-17,3.4455760727220004e-12,1.3710982456544616e-14,8.029493292726871e-16
2061-01-01,3.070788069796754e-17,3.2935316340725034e-12,1.3394572384656192e-14,8.02949329272687e-16
2062-01-01,2.964712504457813e-17,3.1353490289472237e-12,1.3051069340320951e-14,8.029493292726872e-16
2063-01-01,2.8558342086694064e-17,2.972306667164448e-12,1.2685845664785454e-14,8.029493292726872e-16
2064-01-01,2.7452031895402897e-17,2.8056829585424605e-12,1.2304273699296237e-14,8.029493292726873e-16
2065-01-01,2.6338694541792147e-17,2.6367563128995457e-12,1.1911725785099856e-14,8.029493292726871e-16
2066-01-01,2.5228830096949378e-17,2.4668051400539913e-12,1.1513574263442859e-14,8.029493292726872e-16
2067-01-01,2.4132938631962115e-17,2.29710784982408e-12,1.1115191475571796e-14,8.029493292726873e-16
2068-01-01,2.3061520217917897e-17,2.128942852028097e-12,1.0721949762733209e-14,8.029493292726871e-16
2069-01-01,2.2025074925904283e-17,1.9635885564843295e-12,1.0339221466173657e-14,8.029493292726871e-16
2070-01-01,2.10341028270088e-17,1.802323373011061e-12,9.972378927139685e-15,8.029493292726871e-16
2071-01-01,2.009763014636275e-17,1.646269899037803e-12,9.625978640558613e-15,8.029493292726872e-16
2072-01-01,1.9218787725272473e-17,1.4959274824389647e-12,9.30131371608084e-15,8.029493292726872e-16
2073-01-01,1.8399232559088046e-17,1.3516396587001824e-12,8.998861417037538e-15,8.029493292726872e-16
2074-01-01,1.764062164315957e-17,1.213749963307092e-12,8.719099006759873e-15,8.029493292726873e-16
2075-01-01,1.6944611972837123e-17,1.0826019317453277e-12,8.462503748579017e-15,8.029493292726872e-16
2076-01-01,1.6312860543470812e-17,9.585390995005258e-13,8.229552905826142e-15,8.029493292726871e-16
2077-01-01,1.5747024350410718e-17,8.419050020583229e-13,8.020723741832417e-15,8.029493292726872e-16
2078-01-01,1.524876038900693e-17,7.330431749043531e-13,7.83649351992901e-15,8.02949329272687e-16
2079-01-01,1.481972565460955e-17,6.322971535242527e-13,7.677339503447096e-15,8.029493292726871e-16
2080-01-01,1.4461577142568656e-17,5.40010473403657e-13,7.543738955717843e-15,8.029493292726872e-16
2081-01-01,1.4174807997756913e-17,4.564051070170525e-13,7.435800195036484e-15,8.02949329272687e-16
2082-01-01,1.3955255963137237e-17,3.812167747943278e-13,7.352155759554513e-15,8.029493292726873e-16
2083-01-01,1.379759493119511e-17,3.140596341542226e-13,7.291069242387481e-15,8.029493292726872e-16
2084-01-01,1.3696498794416018e-17,2.5454784251547623e-13,7.250804236650947e-15,8.029493292726871e-16
2085-01-01,1.3646641445285446e-17,2.022955572968284e-13,7.229624335460468e-15,8.029493292726871e-16
2086-01-01,1.3642696776288882e-17,1.5691693591701852e-13,7.225793131931597e-15,8.029493292726872e-16
2087-01-01,1.3679338679911804e-17,1.1802613579478627e-13,7.23757421917989e-15,8.029493292726873e-16
2088-01-01,1.3751241048639704e-17,8.523731434887111e-14,7.263231190320905e-15,8.029493292726873e-16
2089-01-01,1.3853077774958057e-17,5.816462899801255e-14,7.301027638470191e-15,8.029493292726872e-16
2090-01-01,1.3979522751352354e-17,3.6422237160950097e-14,7.349227156743313e-15,8.029493292726871e-16
2091-01-01,1.4125249870308084e-17,1.9624296256423326e-14,7.406093338255822e-15,8.029493292726873e-16
2092-01-01,1.4284933024310722e-17,7.384963703171746e-15,7.469889776123274e-15,8.029493292726873e-16
2093-01-01,1.4453246105845753e-17,-6.816030800651032e-16,7.538880063461219e-15,8.029493292726871e-16
2094-01-01,1.4624863007398672e-17,-4.961246674547691e-15,7.611327793385224e-15,8.029493292726873e-16
2095-01-01,1.4794457621454955e-17,-5.839809661536486e-15,7.685496559010838e-15,8.029493292726872e-16
2096-01-01,1.4956703840500088e-17,-3.7031346222919595e-15,7.759649953453614e-15,8.029493292726872e-16
2097-01-01,1.5106275557019556e-17,1.0629358619254129e-15,7.832051569829112e-15,8.029493292726873e-16
2098-01-01,1.523784666349884e-17,8.07255920985517e-15,7.900965001252887e-15,8.029493292726871e-16
2099-01-01,1.5346091052423433e-17,1.693989284023684e-14,7.964653840840495e-15,8.029493292726871e-16
2100-01-01,1.5425682616278812e-17,2.7279094171809952e-14,8.02138168170749e-15,8.029493292726871e-16
