,BC_em_AIR_anthro,CO2_em_AIR_anthro,NOx_em_AIR_anthro,SO2_em_AIR_anthro
2015-01-01,2.5721679110065152e-17,2.1646549570181195e-12,8.867566748981589e-15,8.029493292726871e-16
2016-01-01,2.6544569331891968e-17,2.239532119560724e-12,9.069412587542668e-15,8.275223104742823e-16
2017-01-01,2.7384906485902754e-17,2.3162772975403457e-12,9.270987577741578e-15,8.525606666438474e-16
2018-01-01,2.8240348604805765e-17,2.394689657147394e-12,9.471709222191405e-15,8.779920330978604e-16
2019-01-01,2.910855372130924e-17,2.474568364572275e-12,9.670995023505225e-15,9.037440451527998e-16
2020-01-01,2.998717986812143e-17,2.5557125860053986e-12,9.868262484296132e-15,9.297443381251433e-16
2021-01-01,3.087388507795057e-17,2.6379214876371712e-12,1.0062929107177208e-14,9.559205473313694e-16
2022-01-01,3.176632738350491e-17,2.720994235658e-12,1.0254412394761531e-14,9.822003080879558e-16
2023-01-01,3.26621648174927e-17,2.8047299962582944e-12,1.0442129849662185e-14,1.0085112557113808e-15
2024-01-01,3.355905541262218e-17,2.8889279356284606e-12,1.0625498974492257e-14,1.0347810255181227e-15
2025-01-01,3.445465720160161e-17,2.9733872199589074e-12,1.0803937271864829e-14,1.060937252824659e-15
2026-01-01,3.53466282171392e-17,3.0579070154400416e-12,1.0976862244392984e-14,1.0869075729474685e-15
2027-01-01,3.6232626491943234e-17,3.1422864882622715e-12,1.1143691394689805e-14,1.1126196212030288e-15
2028-01-01,3.711031005872194e-17,3.2263248046160045e-12,1.1303842225368377e-14,1.1380010329078186e-15
2029-01-01,3.797733695018356e-17,3.3098211306916496e-12,1.1456732239041784e-14,1.1629794433783153e-15
2030-01-01,3.8831365199036344e-17,3.3925746326796125e-12,1.1601778938323103e-14,1.1874824879309974e-15
2031-01-01,3.96699539518052e-17,3.4743705372682115e-12,1.1738330925860214e-14,1.2114358280760546e-15
2032-01-01,4.04902668102816e-17,3.554938313137399e-12,1.1865461204440134e-14,1.2347572300985217e-15
2033-01-01,4.1289368490073725e-17,3.633993489465038e-12,1.198217387688468e-14,1.2573624864771465e-15
2034-01-01,4.206432370678969e-17,3.711251595428989e-12,1.2087473046015654e-14,1.2791673896906753e-15
2035-01-01,4.281219717603768e-17,3.7864281602071165e-12,1.2180362814654878e-14,1.3000877322178558e-15
2036-01-01,4.353005361342583e-17,3.859238712977281e-12,1.2259847285624157e-14,1.3200393065374343e-15
2037-01-01,4.4214957734562277e-17,3.929398782917346e-12,1.2324930561745298e-14,1.3389379051281576e-15
2038-01-01,4.486397425505518e-17,3.996623899205172e-12,1.2374616745840116e-14,1.3566993204687728e-15
2039-01-01,4.547416789051271e-17,4.060629591018622e-12,1.2407909940730425e-14,1.3732393450380274e-15
2040-01-01,4.604260335654298e-17,4.121131387535559e-12,1.2423814249238035e-14,1.3884737713146678e-15
2041-01-01,4.656758768735188e-17,4.177958772462428e-12,1.24220458325522e-14,1.4023553080650575e-15
2042-01-01,4.705239719153613e-17,4.231397047620012e-12,1.2405169085331963e-14,1.4149843292060233e-15
2043-01-01,4.750155049629018e-17,4.281845469357677e-12,1.2376460460603821e-14,1.42649812494201e-15
2044-01-01,4.791956622880845e-17,4.329703294024785e-12,1.2339196411394254e-14,1.4370339854774601e-15
2045-01-01,4.8310963016285386e-17,4.375369777970704e-12,1.229665339072975e-14,1.4467292010168175e-15
2046-01-01,4.868025948591545e-17,4.419244177544803e-12,1.2252107851636811e-14,1.4557210617645264e-15
2047-01-01,4.9031974264893076e-17,4.461725749096441e-12,1.2208836247141918e-14,1.46414685792503e-15
2048-01-01,4.9370625980412683e-17,4.503213748974988e-12,1.2170115030271557e-14,1.4721438797027722e-15
2049-01-01,4.970073325966875e-17,4.544107433529809e-12,1.2139220654052228e-14,1.479849417302197e-15
2050-01-01,5.002681472985569e-17,4.584806059110269e-12,1.2119429571510413e-14,1.4874007609277473e-15
